date,case
2014-01-31,0.3407917383820998
2014-02-28,0.6368330464716007
2014-03-31,1.0843373493975903
2014-04-30,1.5938037865748709
2014-05-31,1.4905335628227194
2014-06-30,0.5060240963855421
2014-07-31,1.1738382099827882
2014-08-31,0.2512908777969019
2014-09-30,0.7263339070567987
2014-10-31,1.270223752151463
2014-11-30,0.32013769363166955
2014-12-31,-0.3407917383820998
2015-01-31,-0.14802065404475043
2015-02-28,-0.3476764199655766
2015-03-31,-0.3683304647160069
2015-04-30,-0.3476764199655766
2015-05-31,0.3958691910499139
2015-06-30,0.5197934595524957
2015-07-31,2.061962134251291
2015-08-31,0.04475043029259897
2015-09-30,0.7607573149741824
2015-10-31,1.387263339070568
2015-11-30,-0.1962134251290878
2015-12-31,-0.3476764199655766
2016-01-31,-0.423407917383821
2016-02-29,-0.47160068846815834
2016-03-31,-0.4027538726333907
2016-04-30,-0.5060240963855421
2016-05-31,-0.4784853700516351
2016-06-30,-0.47160068846815834
2016-07-31,-0.10671256454388985
2016-08-31,-0.5197934595524957
2016-09-30,0.685025817555938
2016-10-31,-0.010327022375215147
2016-11-30,-0.1342512908777969
2016-12-31,-0.540447504302926
2017-01-31,0.8984509466437177
2017-02-28,2.4750430292598966
2017-03-31,0.5611015490533563
2017-04-30,-0.4578313253012048
2017-05-31,0.010327022375215147
2017-06-30,-0.4784853700516351
2017-07-31,-0.1549053356282272
2017-08-31,2.1514629948364887
2017-09-30,-0.25817555938037867
2017-10-31,0.38209982788296043
2017-11-30,1.0912220309810672
2017-12-31,-0.3614457831325301
